age,gender,status,daily screen time hours,daily social media hours,physical exercise,sleep hour,check phone morning,irritable recently,top apps,doomscroll level,ContentFormat_ID,StayFactor_ID,SkipPoint_KEY,VisualEffect_Key,screen_time_level,sleep_level,social_media_usage
18-24,Male,ES,2 - 4 hours,1 – 3 hours,I was playing and I stopped,5 – 6 hours,Always,Yes,WhatsApp,2,VID_EDUC,VISUAL_MQ,SKIP_PACE,YES_SIG,Low,Low,High
18-24,Male,ES,2 - 4 hours,Less than 1 hour,Yes,5 – 6 hours,Sometimes,Yes,Facebook,2,VID_EDUC,STATS_DATA,SKIP_HOOK,YES_SIG,Low,Low,Low 
18-24,Female,ES,6 - 8 hours,5 – 7 hours,No,More than 8 hours,Sometimes,No,Instagram,1,VID_SHORT,SUB_HEAD,SKIP_PACE,YES_SIG,High,Very High,Extreme 
18-24,Male,ES,4 - 6 hours,3 – 5 hours,Yes,7 – 8 hours,Never,Yes,Tiktok,3,VID_SHORT,VISUAL_MQ,SKIP_HOOK,YES_SIG,Medium,High,Extreme 
18-24,Male,ES,More than 8 hours,3 – 5 hours,I was playing and I stopped,7 – 8 hours,Always,Yes,Tiktok,3,VID_EDUC,VISUAL_MQ,SKIP_HOOK,YES_SIG,Very High,High,Moderate 
18-24,Female,ES,6 - 8 hours,1 – 3 hours,No,7 – 8 hours,Always,Yes,Facebook,2,VID_SHORT,TONE_STYLE,SKIP_PACE,YES_SIG,High,High,Moderate 
18-24,Male,E,6 - 8 hours,3 – 5 hours,I was playing and I stopped,More than 8 hours,Always,Yes,Facebook,2,VID_SHORT,SUB_HEAD,SKIP_PACE,YES_SIG,High,Very High,High
18-24,Male,ES,More than 8 hours,More than 7 hours,Yes,5 – 6 hours,Always,No,Tiktok,1,STORY_REAL,TONE_STYLE,SKIP_INTEREST,YES_SIG,Very High,Low,Extreme 
18-24,Male,ES,4 - 6 hours,3 – 5 hours,I was playing and I stopped,6 – 7 hours,Sometimes,Yes,Instagram,2,VID_SHORT,VISUAL_MQ,SKIP_PACE,NO_CONTENT,Medium,Good,Extreme 
18-24,Male,ES,4 - 6 hours,1 – 3 hours,Yes,5 – 6 hours,Sometimes,No,Tiktok,2,VID_EDUC,TONE_STYLE,SKIP_PACE,YES_SIG,Medium,Low,Moderate 
18-24,Female,ES,6 - 8 hours,1 – 3 hours,No,More than 8 hours,Always,No,Facebook,1,VID_EDUC,SUB_HEAD,SKIP_PACE,YES_SIG,High,Very High,Moderate 
18-24,Female,ES,2 - 4 hours,1 – 3 hours,No,5 – 6 hours,Never,No,Facebook,1,VID_SHORT,STATS_DATA,SKIP_PACE,NO_CONTENT,Low,Low,High
18-24,Male,ES,6 - 8 hours,3 – 5 hours,I was playing and I stopped,5 – 6 hours,Always,Yes,Tiktok,2,STORY_REAL,VISUAL_MQ,SKIP_HOOK,YES_SIG,High,Low,High
18-24,Female,G,More than 8 hours,More than 7 hours,No,More than 8 hours,Always,i don't know,Tiktok,2,VID_SHORT,SUB_HEAD,SKIP_INTEREST,YES_SIG,Very High,Very High,Extreme 
18-24,Male,E,4 - 6 hours,1 – 3 hours,Yes,5 – 6 hours,Always,No,Instagram,2,VID_SHORT,STATS_DATA,SKIP_INTEREST,NO_CONTENT,Medium,Low,Moderate 
25-34,Male,E,More than 8 hours,3 – 5 hours,No,6 – 7 hours,Always,Yes,WhatsApp,1,VID_SHORT,TONE_STYLE,SKIP_PACE,YES_SIG,Very High,Good,Moderate 
25-34,Male,S,4 - 6 hours,1 – 3 hours,Yes,7 – 8 hours,Sometimes,i don't know,Instagram,2,VID_EDUC,TONE_STYLE,SKIP_INTEREST,YES_SIG,Medium,High,Moderate 
